Lead	City	Current Category	Make	Model	Variant	Make Year	Fuel Type	Transmission Type	Mileage	Ownership	Procurement Price
23751646	Jaipur	assured	Honda	WR-V	S MT Petrol	2019	petrol	manual	33103	1	431000
23431472	Lucknow	budget	Maruti Suzuki	Baleno	Delta MT	2023	petrol	manual	27515	1	543000
23634707	Hyderabad	assured	Renault	Kiger	RXT AMT Dual Tone	2022	petrol	automatic	3333	1	525000
23916438	Bangalore	budget	Maruti Suzuki	Baleno	Alpha 1.2	2016	petrol	manual	94813	1	450000
23874488	Delhi	budget	Maruti Suzuki	Ciaz	Zeta 1.4 MT	2017	petrol	manual	80826	1	405000
24068374	Delhi	budget	Renault	Duster	RXS Opt CVT	2019	petrol	automatic	76392	1	400000
24084976	Bangalore	budget	Tata	Zest	XMS Petrol	2014	petrol	manual	76892	3	215000
20976527	Mumbai	auction	Honda	City	VX CVT	2017	petrol	automatic	104939	2	435000
20985165	Mumbai	auction	Ford	EcoSport	Trend 1.5 TDCi	2014	diesel	manual	99797	2	207000
20733555	Mumbai	auction	Volkswagen	Vento	1.6L Highline Petrol	2014	petrol	manual	80828	2	215000
21029343	Delhi	budget	Honda	Jazz	V Petrol	2015	petrol	manual	74580	2	255000
20235306	Delhi	budget	Nissan	Magnite	XV Turbo	2021	petrol	manual	71277	1	460000
19985906	Delhi	assured	Hyundai	Elite i20	Asta 1.2	2015	petrol	manual	82103	1	326000
21720863	Delhi	assured	Hyundai	Grand i10	Asta 1.2 Kappa VTVT	2017	petrol	manual	40535	1	336000
25196964	Bangalore	assured	Ford	EcoSport	Ambiente 1.5L TDCi	2015	diesel	manual	83416	1	368000
24343548	Chennai	budget	Maruti Suzuki	Baleno	Delta 1.2	2017	petrol	manual	78018	1	351000
24222526	Pune	budget	Maruti Suzuki	Ertiga	ZXi	2013	petrol	manual	48798	1	420000
24582866	Pune	assured	Hyundai	Grand i10	Sportz (O) 1.2 Kappa VTVT	2017	petrol	manual	81165	1	315000
24551170	Delhi	budget	Renault	Kwid	1.0 RXT AMT Opt	2018	petrol	automatic	58690	2	185000
24598895	Pune	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2015	petrol	manual	43902	1	260000
24583225	Delhi	assured	Volkswagen	Polo	Trendline 1.2L (P)	2016	petrol	manual	51990	1	253000
24515304	Delhi	assured	Kia	Carens	Prestige 1.4 Petrol MT 7 STR	2022	petrol	manual	21752	1	869000
21193426	Delhi	assured	Ford	EcoSport	Titanium 1.5L Ti-VCT	2019	petrol	manual	26401	1	550000
24965046	Hyderabad	auction	Maruti Suzuki	Ertiga	ZDi Plus 1.3 Diesel	2019	diesel	manual	46850	1	900000
24735527	Hyderabad	auction	Tata	Nexon	XMA	2023	petrol	automatic	33647	2	550000
24994826	Bangalore	budget	Ford	Freestyle	Titanium Plus 1.2 Ti-VCT	2021	petrol	manual	24819	1	500000
24845192	Bangalore	auction	Hyundai	Verna	Fluidic 1.6 CRDi SX	2014	diesel	manual	185355	2	340000
25061076	Delhi	auction	Nissan	Magnite	XE	2023	petrol	manual	24618	2	363000
24864919	Kolkata	auction	Hyundai	Elite i20	Sportz 1.2 (O)	2015	petrol	manual	34879	1	261000
24635605	Bangalore	budget	Hyundai	i10	Sportz 1.2 AT Kappa2	2011	petrol	automatic	65768	2	185000
